Tag,Label,Index Category,Index value
#suffrage_paul,suffrage paul,text_t,suffrage
#suffrage_peter,suffrage peter,subjects_and_themes_t,peter
#suffrage_peter,suffrage peter,text_t,suffrage
#suffrage_symon,suffrage symon,subjects_and_themes_t,symon
#suffrage_symon,suffrage symon,text_t,suffrage
#suffrage_thomas,suffrage thomas,subjects_and_themes_t,thomas
#suffrage_thomas,suffrage thomas,text_t,suffrage
#suffrage_thomasbecket,suffrage thomas becket,subjects_and_themes_t,thomas becket
#suffrage_thomasbecket,suffrage thomas becket,text_t,suffrage
#suffrage_trinity,suffrage trinity,subjects_and_themes_t,trinity
#suffrage_trinity,suffrage trinity,text_t,suffrage
#symon,symon,subjects_and_themes_t,symon
#T,T,letter_form_t,T
#t,t,letter_form_t,t
#textink,textink,codicological_color_t,ink same color as text
#thomas,thomas,subjects_and_themes_t,thomas
#thomasbecket,thomas becket,subjects_and_themes_t,thomas becket
#threemarysatsepulcher,threemarysatsepulcher,subjects_and_themes_t,threemarysatsepulcher
#treeofjesse,treeofjesse,subjects_and_themes_t,treeofjesse
#trinity,trinity,subjects_and_themes_t,trinity
#u,u,letter_form_t,u
#v,v,letter_form_t,v
#venisanctespiritus,veni sancte spiritus,text_t,veni sancte spiritus
#virgin,virgin,subjects_and_themes_t,virgin
#virginwithchild,virgin with child,subjects_and_themes_t,virgin with child
#virginwithchild,virgin with child,subjects_and_themes_t,virgin
#visitation,visitation,subjects_and_themes_t,visitation
#w,w,letter_form_t,w
#wounds_head,wounds head,subjects_and_themes_t,wounds head
#wounds_head,wounds head,subjects_and_themes_t,wounds
#wounds_leftfoot,wounds left foot,subjects_and_themes_t,wounds left foot
#wounds_leftfoot,wounds left foot,subjects_and_themes_t,wounds
#wounds_lefthand,wounds left hand,subjects_and_themes_t,wounds left hand
#wounds_lefthand,wounds left hand,subjects_and_themes_t,wounds
#wounds_rightfoot,wounds right foot,subjects_and_themes_t,wounds right foot
#wounds_rightfoot,wounds right foot,subjects_and_themes_t,wounds
#wounds_righthand,wounds right hand,subjects_and_themes_t,wounds right hand
#wounds_righthand,wounds right hand,subjects_and_themes_t,wounds
#wounds_side,wounds side,subjects_and_themes_t,wounds side
#wounds_side,wounds side,subjects_and_themes_t,wounds
#woundsofchrist,wounds of christ,subjects_and_themes_t,wounds of christ
#woundsofchrist,wounds of christ,subjects_and_themes_t,christ
#y,y,letter_form_t,y
#zodiac_aquarius ,zodiac aquarius ,subjects_and_themes_t,zodiac aquarius 
